LLIW,SubjVertMo,LoLevMoistAd,N0_7muVerMo,WndHodograph,MorningBound,LIfr12ZDENSd,IRCloudCover,Date,QGVertMotion,SatContMoist,AMInstabMt,MorningCIN,RaoContMoist,AMDewptCalPl,VISCloudCov,LatestCIN,CurPropConv,CombVerMo,InsChange,Boundaries,OutflowFrMt,CldShadeConv,AMInsWliScen,CombClouds,Scenario,CombMoisture,InsInMt,AMCINInScen,PlainsFcst,AreaMeso_ALS,InsSclInScen,CompPlFcst,CldShadeOth,MeanRH,WindFieldMt,SynForcng,ScenRel3_4,WindAloft,ScenRelAMIns,Dewpoints,LowLLapse,MvmtFeatures,SfcWndShfDis,RHRatio,MidLLapse,ScnRelPlFcst,WindFieldPln,ScenRelAMCIN,TempDis,AreaMoDryAir,MountainFcst,CapInScen,N34StarFcst,CapChange,R5Fcst
Weak,Neutral,Neutral,WeakUp,DCVZFavor,Weak,,Clear,Jul2_Jul15,Neutral,Neutral,None,Stifling,Neutral,Instability,PC,PartInhibit,Slight,WeakUp,LittleChange,Weak,Weak,None,MoreUnstable,PC,G,Wet,None,Average,SVR,WeakUp,MoreUnstable,LittleChange,Cloudy,,Westerly,LittleChange,GJ,AllElse,G,LowEvrywhere,Steep,MarkedUpper,None,Other,CloseToDryAd,G,WidespdDnsl,CThruK,None,VeryWet,NIL,Average,SVR,LittleChange,SVR
Moderate,Neutral,Negative,WeakUp,Westerly,None,LIGt0,PC,Aug20_Sep15,Neutral,Neutral,Strong,None,Wet,Stability,PC,TotalInhibit,None,Neutral,LittleChange,None,None,None,LessUnstable,PC,C,Neutral,Strong,LessThanAve,,Neutral,LessUnstable,IncCapDecIns,PC,Dry,Westerly,NegToPos,ACEFK,SWQuad,CDEJ,LowNHighS,CloseToDryAd,NoMajor,None,Other,Steep,C,LV,CThruK,Other,Neutral,SIG,LessThanAve,SIG,Increasing,SIG
Weak,StronUp,Neutral,Neutral,DCVZFavor,Weak,N5GtLIGt_8,Cloudy,Aug20_Sep15,Neutral,Dry,Weak,PartInhibit,VeryWet,Neutral,Clear,PartInhibit,None,Neutral,LittleChange,Strong,Weak,None,MoreUnstable,Clear,A,Dry,Strong,Average,NIL,Neutral,,LittleChange,Clear,VeryMoist,Westerly,LittleChange,ACEFK,SWQuad,ABI,LowMtsHighPl,Stable,StrongFront,DenvCyclone,Other,Steep,A,SEQuad,AB,Moving,Dry,SVR,Average,NIL,LittleChange,SVR
Weak,Neutral,WeakPos,Down,StrongWest,Weak,LIGt0,Clear,Aug11_Aug20,StrongUp,VeryWet,Weak,PartInhibit,Neutral,Stability,Clear,None,Slight,WeakUp,Increasing,Strong,Weak,None,LessUnstable,Clear,B,VeryWet,Strong,Average,SVR,WeakUp,Average,IncCapDecIns,PC,Dry,LVorOther,LittleChange,B,AllElse,ABI,HighEvrywher,Steep,NoMajor,DenvCyclone,DryMMoistL,CloseToDryAd,B,DenvCyclone,AB,Other,VeryWet,SVR,Average,SVR,Increasing,SVR
Weak,Neutral,Negative,StrongUp,DCVZFavor,None,LIGt0,Clear,May15_Jun14,StrongUp,Dry,Strong,Stifling,Wet,Stability,Cloudy,Stifling,None,StrongUp,LittleChange,Strong,Strong,None,LessUnstable,Cloudy,H,Neutral,Strong,Average,NIL,StrongUp,LessUnstable,DecCapIncIns,PC,VeryMoist,LVorOther,NegToPos,HI,NWQuad,H,LowMtsHighPl,Stable,NoMajor,None,DryMMoistL,CloseToDryAd,H,SEQuad,CThruK,Moving,Neutral,SVR,Average,NIL,Decreasing,SVR
Strong,,Negative,StrongUp,Other,None,N5GtLIGt_8,Clear,Aug20_Sep15,Down,Wet,None,PartInhibit,Dry,Instability,PC,PartInhibit,Strong,Neutral,Decreasing,Weak,None,Some,MoreUnstable,PC,B,Dry,None,LessThanAve,SIG,Neutral,Average,LittleChange,PC,Average,LVorOther,PosToNeg,B,AllElse,ABI,LowSHighN,Steep,NoMajor,MovingFtorOt,Other,ModerateOrLe,B,SEQuad,AB,None,Dry,NIL,LessThanAve,SIG,LittleChange,SIG
Weak,Down,StrongPos,Neutral,Westerly,Strong,LIGt0,Cloudy,May15_Jun14,Neutral,Wet,Strong,PartInhibit,VeryWet,Instability,PC,None,None,Neutral,Increasing,None,None,None,Average,Cloudy,J,VeryWet,Strong,LessThanAve,NIL,Neutral,Average,IncCapDecIns,Cloudy,Average,LVorOther,LittleChange,GJ,LV,CDEJ,LowAtStation,ModerateOrLe,NoMajor,None,DryMMoistL,ModerateOrLe,J,SEQuad,CThruK,Other,VeryWet,NIL,LessThanAve,NIL,Increasing,NIL
Moderate,Neutral,Negative,StrongUp,Other,Strong,LIGt0,Clear,Aug20_Sep15,StrongUp,Wet,Strong,PartInhibit,VeryWet,Stability,PC,TotalInhibit,Slight,StrongUp,Decreasing,Strong,None,Some,LessUnstable,PC,I,VeryWet,Strong,Average,SVR,StrongUp,LessUnstable,LittleChange,PC,Average,Westerly,SigPositive,HI,NWQuad,ABI,LowSHighN,CloseToDryAd,NoMajor,E_W_S,DryMMoistL,,I,WidespdDnsl,CThruK,Moving,VeryWet,SIG,Average,SVR,LittleChange,SVR
Weak,Neutral,Negative,StrongUp,Westerly,Weak,N1GtLIGt_4,Clear,Jul16_Aug10,Neutral,Neutral,Weak,TotalInhibit,Dry,Stability,PC,None,Slight,WeakUp,Increasing,Weak,None,None,LessUnstable,Clear,E,Dry,Strong,MoreThanAve,SVR,WeakUp,MoreUnstable,DecCapIncIns,PC,Dry,Westerly,LittleChange,ACEFK,SWQuad,CDEJ,LowNHighS,Steep,NoMajor,None,MoistMDryL,ModerateOrLe,E,LongAnticyc,CThruK,None,Neutral,SIG,MoreThanAve,SVR,Decreasing,SVR
Strong,Neutral,StrongPos,Down,DCVZFavor,None,N5GtLIGt_8,Clear,Jul16_Aug10,Down,Neutral,Strong,None,Neutral,Neutral,Clear,None,Strong,Down,Increasing,None,Weak,Marked,Average,PC,B,Wet,Strong,LessThanAve,SIG,Down,MoreUnstable,IncCapDecIns,PC,Average,Westerly,LittleChange,B,LV,ABI,LowMtsHighPl,Steep,NoMajor,E_W_S,Other,Steep,B,LV,AB,Other,Wet,SVR,LessThanAve,SIG,Increasing,SVR
Unfavorable,StronUp,Neutral,StrongUp,Westerly,Weak,N5GtLIGt_8,PC,Aug20_Sep15,StrongUp,Neutral,Weak,PartInhibit,Neutral,Instability,PC,PartInhibit,None,StrongUp,LittleChange,Weak,None,None,Average,PC,C,Wet,Strong,Average,NIL,StrongUp,Average,DecCapIncIns,PC,Dry,Westerly,NegToPos,ACEFK,NWQuad,CDEJ,LowNHighS,Steep,OtherRapid,E_W_N,Other,Steep,C,LV,CThruK,Other,VeryWet,NIL,Average,NIL,Decreasing,NIL
Weak,Neutral,Negative,Down,Other,None,N1GtLIGt_4,Clear,Jun15_Jul1,WeakUp,Neutral,None,PartInhibit,VeryWet,Stability,PC,None,Moderate,Neutral,Increasing,Weak,None,Some,MoreUnstable,Clear,G,Neutral,Weak,Average,SVR,Neutral,MoreUnstable,LittleChange,Clear,Dry,LVorOther,PosToNeg,GJ,LV,G,LowSHighN,CloseToDryAd,MarkedUpper,None,MoistMDryL,Steep,G,LV,CThruK,None,Dry,NIL,Average,SVR,LittleChange,SVR
Moderate,Down,WeakPos,Neutral,DCVZFavor,Weak,N5GtLIGt_8,PC,May15_Jun14,WeakUp,Wet,Strong,PartInhibit,Wet,Stability,Clear,None,Moderate,WeakUp,Increasing,Weak,Weak,None,Average,Clear,E,Wet,Strong,LessThanAve,SVR,WeakUp,MoreUnstable,DecCapIncIns,Clear,Dry,LVorOther,PosToNeg,ACEFK,SWQuad,CDEJ,LowEvrywhere,Steep,NoMajor,None,MoistMDryL,Steep,E,,CThruK,None,Wet,SIG,LessThanAve,SVR,Decreasing,SVR
Unfavorable,Neutral,Neutral,StrongUp,StrongWest,None,N1GtLIGt_4,PC,Jun15_Jul1,Neutral,Wet,None,PartInhibit,Dry,Instability,Clear,None,Slight,Neutral,LittleChange,None,Strong,None,MoreUnstable,Clear,A,Wet,None,MoreThanAve,SVR,Neutral,MoreUnstable,IncCapDecIns,Clear,Average,Westerly,SigNegative,ACEFK,SWQuad,ABI,HighEvrywher,Stable,OtherRapid,DenvCyclone,DryMMoistL,Steep,A,DenvCyclone,AB,Moving,Wet,NIL,MoreThanAve,SIG,Increasing,SIG
Weak,StronUp,StrongPos,WeakUp,DCVZFavor,Strong,N1GtLIGt_4,PC,Jun15_Jul1,Neutral,Neutral,Weak,PartInhibit,Dry,Stability,Clear,None,Moderate,Neutral,LittleChange,None,Weak,None,Average,PC,G,Neutral,Strong,Average,SIG,Neutral,MoreUnstable,IncCapDecIns,PC,Dry,LVorOther,LittleChange,GJ,SWQuad,G,LowAtStation,CloseToDryAd,NoMajor,Other,,Steep,G,LV,CThruK,QStationary,Neutral,SIG,Average,SIG,Increasing,SIG
Strong,Down,StrongPos,Neutral,Other,None,N5GtLIGt_8,Clear,May15_Jun14,Down,Dry,Weak,Stifling,Neutral,Stability,PC,TotalInhibit,Moderate,Neutral,Increasing,Weak,None,None,Average,Clear,K,VeryWet,Strong,Average,NIL,Neutral,MoreUnstable,DecCapIncIns,Clear,Dry,Westerly,NegToPos,ACEFK,AllElse,K,LowNHighS,ModerateOrLe,MarkedUpper,DryLine,DryMMoistL,Steep,K,SEQuad,CThruK,QStationary,Wet,SVR,Average,NIL,Decreasing,SVR
Unfavorable,Down,WeakPos,WeakUp,DCVZFavor,None,N5GtLIGt_8,Cloudy,Jul16_Aug10,Down,Neutral,Strong,Stifling,Neutral,Neutral,PC,Stifling,None,Neutral,Increasing,Strong,Strong,None,MoreUnstable,Cloudy,D,Dry,Strong,Average,NIL,Neutral,MoreUnstable,IncCapDecIns,Cloudy,Dry,Westerly,SigNegative,D,SWQuad,CDEJ,LowAtStation,CloseToDryAd,OtherRapid,E_W_S,Other,Steep,D,LV,CThruK,Other,Dry,SIG,Average,NIL,Increasing,SIG
Moderate,Neutral,Negative,Down,StrongWest,Strong,LIGt0,PC,Aug20_Sep15,Down,Dry,Weak,Stifling,Dry,Stability,PC,PartInhibit,Moderate,Neutral,LittleChange,None,None,None,LessUnstable,PC,C,VeryWet,Strong,Average,SIG,Neutral,LessUnstable,IncCapDecIns,PC,Dry,Westerly,LittleChange,ACEFK,NWQuad,CDEJ,LowAtStation,CloseToDryAd,NoMajor,Other,DryMMoistL,Steep,C,LongAnticyc,CThruK,Other,VeryWet,SVR,Average,SIG,Increasing,SVR
Weak,Neutral,Neutral,StrongUp,Westerly,None,N5GtLIGt_8,Cloudy,May15_Jun14,Neutral,Wet,Weak,PartInhibit,VeryWet,Stability,Clear,TotalInhibit,None,StrongUp,Decreasing,Weak,None,Marked,MoreUnstable,Clear,H,VeryWet,Strong,Average,NIL,StrongUp,Average,DecCapIncIns,PC,VeryMoist,LVorOther,PosToNeg,HI,AllElse,H,LowMtsHighPl,Stable,NoMajor,MovingFtorOt,DryMMoistL,ModerateOrLe,H,SEQuad,CThruK,QStationary,VeryWet,SIG,Average,NIL,Decreasing,SIG
Weak,Neutral,Neutral,StrongUp,DCVZFavor,None,LIGt0,Clear,Jul16_Aug10,Neutral,VeryWet,Strong,None,Neutral,Neutral,Clear,Stifling,None,StrongUp,Decreasing,Strong,Weak,Some,MoreUnstable,Clear,E,VeryWet,Strong,LessThanAve,NIL,StrongUp,Average,LittleChange,Clear,Dry,LVorOther,LittleChange,ACEFK,AllElse,CDEJ,LowMtsHighPl,CloseToDryAd,NoMajor,None,MoistMDryL,ModerateOrLe,E,LV,CThruK,None,VeryWet,SVR,LessThanAve,NIL,LittleChange,SVR
Weak,WeakUp,WeakPos,WeakUp,Westerly,None,N1GtLIGt_4,PC,May15_Jun14,Neutral,Neutral,None,PartInhibit,VeryWet,Stability,PC,None,Slight,Neutral,Increasing,None,None,None,Average,PC,I,Wet,None,Average,SVR,Neutral,Average,IncCapDecIns,PC,Average,Westerly,SigPositive,HI,AllElse,ABI,LowSHighN,ModerateOrLe,StrongFront,MovingFtorOt,,Steep,I,LV,CThruK,QStationary,Wet,NIL,Average,SVR,Increasing,SVR
Moderate,Neutral,WeakPos,Neutral,Other,Strong,N1GtLIGt_4,Clear,May15_Jun14,Neutral,Wet,Strong,PartInhibit,Neutral,Stability,Clear,PartInhibit,Moderate,Neutral,Increasing,Strong,None,Marked,Average,Clear,K,Neutral,Strong,Average,SIG,Neutral,MoreUnstable,IncCapDecIns,PC,VeryMoist,LVorOther,SigNegative,ACEFK,AllElse,K,LowSHighN,Stable,MarkedUpper,E_W_S,DryMMoistL,ModerateOrLe,K,SEQuad,CThruK,Other,Wet,SIG,Average,SIG,Increasing,SIG
Unfavorable,Down,Negative,Down,StrongWest,Strong,N1GtLIGt_4,Cloudy,May15_Jun14,Down,Dry,Weak,PartInhibit,VeryWet,Instability,Clear,PartInhibit,None,Down,LittleChange,Strong,None,None,Average,Clear,A,Neutral,Strong,MoreThanAve,NIL,Down,MoreUnstable,LittleChange,Clear,Dry,Westerly,NegToPos,ACEFK,SWQuad,ABI,,Steep,MarkedUpper,MovingFtorOt,DryMMoistL,Steep,A,DenvCyclone,AB,Moving,Dry,SIG,MoreThanAve,NIL,LittleChange,SIG
Weak,Neutral,Neutral,StrongUp,Westerly,Weak,N1GtLIGt_4,Cloudy,Aug20_Sep15,Down,Dry,Weak,PartInhibit,Neutral,Instability,PC,PartInhibit,None,Neutral,Decreasing,None,None,Marked,MoreUnstable,PC,J,Wet,Strong,LessThanAve,NIL,Neutral,LessUnstable,LittleChange,PC,Average,LVorOther,LittleChange,GJ,LV,CDEJ,LowAtStation,ModerateOrLe,NoMajor,None,MoistMDryL,Steep,J,LV,CThruK,Other,Wet,SVR,LessThanAve,NIL,LittleChange,SVR
Weak,StronUp,Neutral,Neutral,Westerly,None,N5GtLIGt_8,Clear,Aug11_Aug20,WeakUp,Neutral,Weak,PartInhibit,Neutral,Instability,Cloudy,PartInhibit,Slight,WeakUp,LittleChange,Weak,None,,MoreUnstable,Cloudy,B,Neutral,Strong,Average,NIL,WeakUp,MoreUnstable,LittleChange,Cloudy,Average,LVorOther,PosToNeg,B,LV,ABI,HighEvrywher,Steep,NoMajor,None,MoistMDryL,ModerateOrLe,B,DenvCyclone,AB,Other,Wet,SVR,Average,NIL,LittleChange,SVR
Moderate,Neutral,Neutral,StrongUp,StrongWest,Weak,N1GtLIGt_4,Cloudy,Aug20_Sep15,Neutral,Dry,Weak,PartInhibit,Neutral,Stability,PC,None,Strong,WeakUp,Decreasing,Weak,Strong,None,LessUnstable,PC,C,Wet,Strong,Average,SIG,WeakUp,LessUnstable,LittleChange,PC,Dry,Westerly,NegToPos,ACEFK,NWQuad,CDEJ,LowEvrywhere,Steep,MarkedUpper,E_W_N,Other,ModerateOrLe,C,WidespdDnsl,CThruK,Other,VeryWet,NIL,Average,SIG,LittleChange,SIG
Weak,Neutral,Negative,Down,DCVZFavor,Strong,LILt_8,Clear,Jul16_Aug10,Neutral,Dry,None,PartInhibit,Wet,Stability,PC,None,Slight,Neutral,Increasing,Strong,Weak,None,MoreUnstable,PC,I,Wet,Weak,Average,SVR,Neutral,MoreUnstable,IncCapDecIns,PC,Average,LVorOther,NegToPos,HI,AllElse,ABI,LowSHighN,ModerateOrLe,StrongFront,E_W_S,DryMMoistL,Steep,I,E_NE,CThruK,Moving,VeryWet,SIG,Average,SVR,Increasing,SVR
Moderate,WeakUp,Neutral,Neutral,StrongWest,,N5GtLIGt_8,Cloudy,Jul16_Aug10,Neutral,Dry,Strong,PartInhibit,Wet,Neutral,Clear,None,Strong,Neutral,LittleChange,None,Strong,None,Average,PC,E,Wet,Strong,Average,SIG,Neutral,Average,IncCapDecIns,PC,Average,LVorOther,PosToNeg,ACEFK,SWQuad,CDEJ,LowAtStation,CloseToDryAd,OtherRapid,DryLine,MoistMDryL,ModerateOrLe,E,WidespdDnsl,CThruK,None,VeryWet,SIG,Average,SIG,Increasing,SIG
Unfavorable,Down,Neutral,WeakUp,StrongWest,Weak,N5GtLIGt_8,Cloudy,May15_Jun14,Down,Neutral,Strong,Stifling,Wet,Instability,Clear,PartInhibit,Slight,Down,LittleChange,Weak,Weak,None,MoreUnstable,Clear,J,Wet,Strong,Average,SVR,Down,,IncCapDecIns,Clear,Dry,LVorOther,LittleChange,GJ,LV,CDEJ,LowAtStation,ModerateOrLe,NoMajor,E_W_S,DryMMoistL,ModerateOrLe,J,LV,CThruK,None,Neutral,SVR,Average,SVR,Increasing,SVR
Unfavorable,WeakUp,Neutral,WeakUp,StrongWest,None,N5GtLIGt_8,Clear,Jul16_Aug10,Down,Neutral,None,Stifling,Neutral,Stability,Clear,None,None,Neutral,Decreasing,None,Weak,None,Average,Clear,E,Neutral,None,Average,NIL,Neutral,Average,IncCapDecIns,Clear,Average,Westerly,PosToNeg,ACEFK,SWQuad,CDEJ,LowNHighS,CloseToDryAd,NoMajor,DryLine,MoistMDryL,ModerateOrLe,E,LV,CThruK,None,Wet,NIL,Average,SVR,Increasing,SVR
Unfavorable,WeakUp,WeakPos,WeakUp,DCVZFavor,Strong,N5GtLIGt_8,Cloudy,Aug20_Sep15,Neutral,Neutral,None,None,Wet,Instability,PC,PartInhibit,None,WeakUp,Increasing,Weak,Weak,None,MoreUnstable,PC,B,Wet,None,LessThanAve,NIL,WeakUp,MoreUnstable,LittleChange,Cloudy,Dry,LVorOther,PosToNeg,B,SWQuad,ABI,LowMtsHighPl,Stable,NoMajor,MovingFtorOt,DryMMoistL,ModerateOrLe,B,DenvCyclone,AB,Other,Neutral,NIL,LessThanAve,NIL,LittleChange,NIL
Strong,Neutral,WeakPos,Neutral,DCVZFavor,None,N1GtLIGt_4,Clear,Jul16_Aug10,Down,Wet,Weak,Stifling,Dry,Neutral,Clear,None,Strong,Neutral,Increasing,Weak,Weak,None,LessUnstable,Clear,K,Dry,Strong,Average,SIG,Neutral,Average,DecCapIncIns,PC,Average,Westerly,PosToNeg,ACEFK,SWQuad,K,Other,Steep,MarkedUpper,MovingFtorOt,DryMMoistL,CloseToDryAd,K,LongAnticyc,CThruK,None,Dry,SVR,Average,NIL,Decreasing,SVR
Strong,Neutral,Neutral,Down,DCVZFavor,Strong,N5GtLIGt_8,Clear,Jul2_Jul15,Neutral,Dry,None,TotalInhibit,Dry,Neutral,Clear,PartInhibit,Strong,Down,LittleChange,Weak,Weak,None,MoreUnstable,Clear,C,Wet,None,MoreThanAve,SIG,Down,MoreUnstable,IncCapDecIns,Clear,Dry,Westerly,SigPositive,ACEFK,NWQuad,CDEJ,LowEvrywhere,ModerateOrLe,MarkedUpper,E_W_N,Other,Steep,C,WidespdDnsl,CThruK,None,Wet,NIL,MoreThanAve,SIG,Increasing,SIG
Moderate,Neutral,StrongPos,Down,DCVZFavor,Weak,N1GtLIGt_4,Clear,May15_Jun14,Neutral,VeryWet,Strong,TotalInhibit,VeryWet,Stability,Cloudy,PartInhibit,Moderate,Down,Increasing,Strong,Weak,None,MoreUnstable,Cloudy,G,VeryWet,Strong,MoreThanAve,SVR,Down,MoreUnstable,IncCapDecIns,Cloudy,Dry,Westerly,LittleChange,GJ,AllElse,G,LowAtStation,CloseToDryAd,NoMajor,Other,MoistMDryL,CloseToDryAd,G,WidespdDnsl,CThruK,Other,Wet,SIG,MoreThanAve,SVR,Increasing,SVR
Moderate,Down,Negative,StrongUp,StrongWest,Weak,N1GtLIGt_4,Clear,May15_Jun14,Neutral,VeryWet,None,TotalInhibit,Neutral,Instability,Clear,None,Slight,StrongUp,Decreasing,Weak,Strong,None,Average,Clear,H,Wet,None,MoreThanAve,SVR,StrongUp,LessUnstable,LittleChange,Clear,VeryMoist,LVorOther,SigNegative,HI,NWQuad,H,LowMtsHighPl,ModerateOrLe,NoMajor,MovingFtorOt,DryMMoistL,Steep,H,E_NE,CThruK,Moving,VeryWet,NIL,MoreThanAve,SVR,LittleChange,SVR
Strong,Neutral,StrongPos,StrongUp,DCVZFavor,Weak,N5GtLIGt_8,Clear,May15_Jun14,Neutral,Dry,None,Stifling,Neutral,Instability,PC,Stifling,Slight,StrongUp,Increasing,Strong,Weak,Some,MoreUnstable,Clear,D,Wet,None,Average,NIL,StrongUp,MoreUnstable,LittleChange,Clear,Average,Westerly,SigNegative,D,NWQuad,CDEJ,LowSHighN,CloseToDryAd,MarkedUpper,MovingFtorOt,DryMMoistL,CloseToDryAd,D,DenvCyclone,CThruK,Moving,Wet,NIL,Average,NIL,LittleChange,NIL
Moderate,Neutral,Neutral,Down,StrongWest,None,N1GtLIGt_4,Cloudy,Aug20_Sep15,StrongUp,Wet,Weak,None,Wet,Instability,PC,PartInhibit,Slight,Neutral,LittleChange,None,Weak,None,Average,Cloudy,G,Wet,Strong,LessThanAve,NIL,Neutral,Average,IncCapDecIns,Cloudy,Dry,LVorOther,LittleChange,GJ,SWQuad,G,LowAtStation,CloseToDryAd,OtherRapid,None,Other,CloseToDryAd,G,WidespdDnsl,CThruK,None,Neutral,SVR,LessThanAve,SVR,Increasing,SVR
Weak,Neutral,WeakPos,Down,DCVZFavor,None,N1GtLIGt_4,PC,Jul16_Aug10,Neutral,Wet,Weak,PartInhibit,VeryWet,Stability,Clear,None,None,Down,Increasing,Strong,Weak,None,LessUnstable,Clear,E,VeryWet,Strong,Average,SIG,Down,Average,DecCapIncIns,Clear,Dry,LVorOther,SigNegative,ACEFK,AllElse,CDEJ,LowEvrywhere,CloseToDryAd,OtherRapid,Other,MoistMDryL,ModerateOrLe,E,WidespdDnsl,CThruK,QStationary,Wet,SIG,Average,SIG,Decreasing,SIG
Strong,Neutral,WeakPos,Neutral,Westerly,None,N1GtLIGt_4,PC,Jul16_Aug10,Neutral,Wet,Weak,PartInhibit,Neutral,Neutral,PC,None,Moderate,Neutral,Increasing,Weak,None,Marked,Average,Cloudy,B,Wet,Strong,Average,SVR,Neutral,MoreUnstable,IncCapDecIns,PC,Average,LVorOther,LittleChange,B,NWQuad,ABI,HighEvrywher,Stable,StrongFront,None,DryMMoistL,,B,SEQuad,AB,Moving,Wet,SIG,Average,SVR,Increasing,SVR
Unfavorable,StronUp,WeakPos,StrongUp,Other,Weak,N5GtLIGt_8,Clear,May15_Jun14,StrongUp,Wet,Strong,None,VeryWet,Stability,Clear,Stifling,None,StrongUp,Increasing,None,None,Some,MoreUnstable,Clear,K,VeryWet,Strong,LessThanAve,NIL,StrongUp,MoreUnstable,LittleChange,PC,Average,Westerly,SigPositive,ACEFK,SWQuad,K,Other,Stable,NoMajor,E_W_N,Other,ModerateOrLe,K,WidespdDnsl,CThruK,None,VeryWet,SIG,LessThanAve,NIL,LittleChange,SIG
Moderate,StronUp,Negative,Neutral,DCVZFavor,None,N1GtLIGt_4,Clear,May15_Jun14,Neutral,Dry,None,PartInhibit,Neutral,Instability,PC,PartInhibit,Moderate,WeakUp,LittleChange,Strong,Weak,Some,Average,PC,C,Wet,None,Average,SIG,WeakUp,Average,IncCapDecIns,PC,Average,Westerly,LittleChange,ACEFK,SWQuad,CDEJ,Other,CloseToDryAd,OtherRapid,E_W_N,Other,ModerateOrLe,C,LongAnticyc,CThruK,Moving,Wet,NIL,Average,SIG,Increasing,SIG
Unfavorable,Neutral,Negative,StrongUp,Westerly,Weak,N1GtLIGt_4,Clear,Jul16_Aug10,Down,Neutral,Strong,PartInhibit,Wet,Stability,Clear,PartInhibit,None,Neutral,Increasing,None,None,None,MoreUnstable,Clear,E,Neutral,Strong,LessThanAve,NIL,Neutral,MoreUnstable,IncCapDecIns,Clear,Average,Westerly,LittleChange,ACEFK,,CDEJ,LowAtStation,Steep,NoMajor,None,MoistMDryL,Steep,E,DenvCyclone,CThruK,None,Neutral,SVR,LessThanAve,SIG,Increasing,SVR
Weak,Down,WeakPos,WeakUp,DCVZFavor,Weak,N5GtLIGt_8,Clear,May15_Jun14,Neutral,Neutral,None,PartInhibit,Wet,Instability,PC,PartInhibit,Slight,Down,Decreasing,Strong,Weak,Some,MoreUnstable,Clear,H,Neutral,None,Average,SVR,Down,MoreUnstable,LittleChange,Clear,Average,LVorOther,SigPositive,HI,LV,H,LowMtsHighPl,Stable,MarkedUpper,MovingFtorOt,DryMMoistL,Steep,H,E_NE,CThruK,Moving,Neutral,NIL,Average,SVR,LittleChange,SVR
Strong,Neutral,WeakPos,Down,Westerly,Weak,LILt_8,PC,Aug20_Sep15,Neutral,Wet,None,PartInhibit,Neutral,Neutral,PC,PartInhibit,Strong,Neutral,Increasing,None,None,Marked,MoreUnstable,PC,E,Wet,None,MoreThanAve,SIG,Neutral,MoreUnstable,LittleChange,Cloudy,Average,Westerly,SigPositive,ACEFK,SWQuad,CDEJ,LowSHighN,Steep,NoMajor,DenvCyclone,DryMMoistL,ModerateOrLe,E,LV,CThruK,Other,Wet,NIL,MoreThanAve,SVR,LittleChange,SVR
Moderate,Down,WeakPos,WeakUp,StrongWest,None,LIGt0,Cloudy,Aug20_Sep15,Neutral,Neutral,Strong,PartInhibit,Wet,Stability,Clear,None,Moderate,Down,Decreasing,None,None,None,LessUnstable,Clear,K,Neutral,Strong,Average,NIL,Down,LessUnstable,LittleChange,Clear,VeryMoist,LVorOther,NegToPos,ACEFK,NWQuad,K,HighEvrywher,ModerateOrLe,OtherRapid,None,DryMMoistL,Steep,K,SEQuad,CThruK,Moving,Neutral,SVR,Average,NIL,LittleChange,SVR
Weak,,WeakPos,Down,DCVZFavor,Weak,N1GtLIGt_4,Clear,May15_Jun14,Neutral,Neutral,Weak,TotalInhibit,Neutral,Neutral,Clear,PartInhibit,None,Neutral,Increasing,Weak,Weak,None,Average,Clear,K,Neutral,Strong,MoreThanAve,NIL,Neutral,Average,LittleChange,Clear,Dry,Westerly,SigPositive,ACEFK,SWQuad,K,Other,Steep,MarkedUpper,DryLine,Other,ModerateOrLe,K,WidespdDnsl,CThruK,QStationary,Neutral,SIG,MoreThanAve,NIL,LittleChange,SIG
Weak,WeakUp,Neutral,Neutral,StrongWest,None,N5GtLIGt_8,Cloudy,May15_Jun14,Down,Dry,Weak,Stifling,Dry,Neutral,PC,None,Strong,WeakUp,Decreasing,None,Strong,None,MoreUnstable,Cloudy,G,VeryWet,Strong,Average,SIG,WeakUp,Average,IncCapDecIns,Cloudy,Dry,Westerly,PosToNeg,GJ,LV,G,LowAtStation,CloseToDryAd,MarkedUpper,None,Other,CloseToDryAd,G,E_NE,CThruK,None,VeryWet,SIG,Average,SIG,Increasing,SIG
Moderate,Down,WeakPos,Down,DCVZFavor,None,N1GtLIGt_4,Cloudy,Jun15_Jul1,Neutral,Neutral,None,TotalInhibit,VeryWet,Stability,Clear,None,Slight,Down,Increasing,,Weak,None,MoreUnstable,Clear,J,Wet,None,MoreThanAve,NIL,Down,MoreUnstable,IncCapDecIns,Clear,Average,LVorOther,LittleChange,GJ,LV,,LowMtsHighPl,Steep,NoMajor,DryLine,DryMMoistL,CloseToDryAd,J,LV,CThruK,None,VeryWet,NIL,MoreThanAve,NIL,Increasing,NIL
Weak,StronUp,Negative,Down,StrongWest,Strong,N5GtLIGt_8,Clear,May15_Jun14,Neutral,Neutral,Weak,Stifling,Dry,Stability,Clear,Stifling,Slight,Neutral,LittleChange,Strong,None,None,Average,Clear,K,Dry,Strong,,SVR,Neutral,Average,IncCapDecIns,Clear,Average,Westerly,LittleChange,ACEFK,AllElse,K,Other,ModerateOrLe,StrongFront,None,Other,CloseToDryAd,K,DenvCyclone,CThruK,Moving,Dry,SIG,Average,SVR,Increasing,SVR
